台灣
TPE: TAIPEI-CHIANG KAI SHEK, 台灣桃園
ELP: EL PASO, 美國埃爾帕索

ELM: ELMIRA, 美國埃爾邁拉

ESC: ESCANABA, 美國埃斯卡諾巴

EUG: EUGENE, 美國尤金

EVV: EVANSVILLE, 美國埃文斯維爾

FRM: FAIRMONT, 美國費爾蒙特

FAR: FARGO, 美國法戈

FMN: FARMINGTON, 美國法明頓

FLL: FORT LAUDERDALE, 美國勞德代爾堡

FMY: FORT MYERS-PAGE FIELD, 美國邁爾斯堡

RSW: FORT MYERS-SOUTH WEST FLORIDA, 美國邁爾斯堡

FSM: FORT SMITH, 美國史密斯堡

FWA: FORT WAYNE, 美國韋恩堡

FAT: FRESNO, 美國弗雷斯諾

QWF: FT. COLLINS BUS SERVICE, 美國科林斯堡

GCC: GILLETTE, 美國吉列特

GNV: GAINESVILLE, 美國蓋恩斯維爾

GBG: GALESBURG, 美國蓋爾斯堡

GCK: GARDEN CITY, 美國花園城

GRI: GRAND ISLAND, 美國大島

GJT: GRAND JUNCTION, 美國大章克申

GRR: GRAND RAPIDS, 美國大急流城

GTF: GREAT FALLS, 美國大瀑布城

GRB: GREEN BAY, 美國綠灣

GSO: GREENSBORO-HIGHPT, 美國格林斯伯勒

GSP: GREENVL-SPARTANBG, 美國格林維爾/斯帕坦堡

GUM: GUAM, 美國關島

GUC: GUNNISON, 美國甘尼森

HRL: HARLINGEN, 美國哈林根

HAR: HARRISBURG SKYPORT, 美國哈里斯堡

MDT: HARRISBURG INTL, 美國哈里斯堡

HFD: HARTFORD, 美國哈特福德

HDN: HAYDEN, 美國海登

HYS: HAYS, 美國海斯

HNL: HONOLULU(HAWAII), 美國夏威夷檀香山

HOU: HOUSTON-HOBBY, 美國休斯頓

IAH: HOUSTON-INTERCONTINENTAL, 美國休斯頓

HON: HURON, 美國休倫

HSV: HUNTSVIL-DECATUR, 美國亨茨維爾/迪凱特

IPL: IMPERIAL, 美國帝國城

IND: INDIANAPOLIS, 美國印第安納波利斯

IYK: INYOKERN, 美國因約肯

IMT: IRON MOUNTAIN, 美國鐵山

IWD: IRONWOOD, 美國鐵木

JAN: JACKSON, 美國傑克遜

